name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear,Gender,Source
Lakshminarayanan Subramanian,New York University,2015,Program,Male,Male,North America,2005,Male,FullNameMatch
Kobus van der Merwe,University of Utah,2015,Program,,Male,North America,1998,Male,FuzzyMatch
Robbert van Renesse,Cornell University,2015,Program,Male,Male,North America,1989,Male,FullNameMatch
Geoff Voelker,"University of California, San Diego",2015,Program,Male,Male,North America,2000,Male,FullNameMatch
Hakim Weatherspoon,Cornell University,2015,Program,Male,Male,North America,2006,Male,FullNameMatch
Matei Zaharia,MIT CSAIL and Databricks,2015,Program,Male,Male,North America,2013,Male,FullNameMatch
Nickolai Zeldovich,MIT CSAIL,2015,Program,Male,Male,North America,2008,Male,FullNameMatch
Lidong Zhou,Microsoft Research Asia,2015,Program,Male,Male,North America,2001,Male,FullNameMatch
Aditya Akella,University of Wisconsin—Madison,2016,Program,Male,Male,North America,2005,Male,FullNameMatch
Mohammad Alizadeh,Massachusetts Institute of Technology,2016,Program,Male,Male,North America,2013,Male,FullNameMatch
Mona Attariyan,Google,2016,Program,Female,Female,North America,2012,Female,FullNameMatch
Hari Balakrishnan,Massachusetts Institute of Technology,2016,Program,Male,Male,North America,1998,Male,FullNameMatch
Mahesh Balakrishnan,Yale University,2016,Program,Male,Male,North America,2005,Male,FullNameMatch
Aruna Balasubramanian,Stony Brook University,2016,Program,Female,Female,North America,2011,Female,FullNameMatch
Sujata Banerjee,HP Labs,2016,Program,Female,Female,North America,1993,Female,FullNameMatch
Paul Barford,University of Wisconsin—Madison and comScore,2016,Program,Male,Male,North America,2000,Male,FullNameMatch
Ranjita Bhagwan,Microsoft Research India,2016,Program,Female,Female,Asia,2004,Female,FullNameMatch
Nathan Bronson,Facebook,2016,Program,Male,Male,North America,2011,Male,FullNameMatch
Paolo Costa,Microsoft Research,2016,Program,Male,Male,Europe,2002,Male,FullNameMatch
Paul Francis,Max Planck Institute for Software Systems (MPI-SWS),2016,Program,Male,Male,Europe,1994,Male,FullNameMatch
Monia (Manya) Ghobadi,Microsoft Research,2016,Program,Female,Female,North America,2013,Female,FullNameMatch
Shyam Gollakota,University of Washington,2016,Program,Male,Male,North America,2013,Male,FullNameMatch
Jon Howell,Google,2016,Program,Male,Male,North America,2000,Male,FullNameMatch
Kyle Jamieson,Princeton University,2016,Program,Male,Male,North America,2008,Male,FullNameMatch
Srikanth Kandula,Microsoft,2016,Program,Male,Male,North America,2008,Male,FullNameMatch
Brad Karp,University College London,2016,Program,Male,Male,Europe,2000,Male,FullNameMatch
S. Keshav,University of Waterloo,2016,Program,,Male,North America,1991,Male,FuzzyMatch
Changhoon Kim,Barefoot Networks,2016,Program,Male,Male,North America,2009,Male,FullNameMatch
Ramakrishna Kotla,Amazon,2016,Program,Male,Male,North America,2007,Male,FullNameMatch
Jinyang Li,New York University,2016,Program,Female,Female,North America,2005,Female,FullNameMatch
David Lie,University of Toronto,2016,Program,Male,Male,North America,2004,Male,FullNameMatch
Kate Ching-Ju Lin,"Academia Sinica, Taiwan",2016,Program,Female,Female,Asia,2009,Female,FullNameMatch
Wyatt Lloyd,University of Southern California,2016,Program,Male,Male,North America,2013,Male,FullNameMatch
Jay Lorch,Microsoft Research,2016,Program,Male,Male,North America,2001,Male,FullNameMatch
Ratul Mahajan,Microsoft Research,2016,Program,Male,Male,North America,2005,Male,FullNameMatch
Prateek Mittal,Princeton University,2016,Program,,Male,North America,2012,Male,FuzzyMatch
Thomas Moscibroda,Microsoft Research,2016,Program,Male,Male,North America,2006,Male,FullNameMatch
David Oran,Cisco Systems,2016,Program,Male,Male,North America,?,Male,FullNameMatch
Oriana Riva,Microsoft Research,2016,Program,Female,Female,North America,2007,Female,FullNameMatch
Vyas Sekar,Carnegie Mellon University,2016,Program,Male,Male,North America,2010,Male,FullNameMatch
Siddhartha Sen,Microsoft Research,2016,Program,,Male,North America,2012,Male,FuzzyMatch
Srinivasan Seshan,Carnegie Mellon University,2016,Program,Male,Male,North America,1995,Male,FullNameMatch
Ankit Singla,ETH Zürich,2016,Program,Male,Male,Europe,2015,Male,FullNameMatch
Jonathan Smith,University of Pennsylvania,2016,Program,Male,Male,North America,1989,Male,FullNameMatch
Alex Snoeren,"University of California, San Diego",2016,Program,,Male,North America,2002,Male,FuzzyMatch
Kobus Van der Merwe,University of Utah,2016,Program,Male,Male,North America,1998,Male,FullNameMatch
Laurent Vanbever,ETH Zürich,2016,Program,Male,Male,Europe,2012,Male,FullNameMatch
